first_name,last_name,gender,age,registered,orders,spent,job,hobbies,is_married
Jeremy,Lee,male,26,6/29/2021,16,829.66,Carpenter,Yoga,FALSE
Robert,Moore,male,40,4/2/2020,5,795.64,Polic,Hunting,TRUE
Tiffany,Pearson,female,77,12/19/2019,4,220.82,Politician,Gardening,TRUE
Audrey,Richardson,female,53,10/20/2020,12,560.53,Engineer,Playing musical instruments,FALSE
Maureen,Bryant,female,64,5/3/2021,7,275.84,Architect,Singing,FALSE
Derrick,Roberts,male,72,5/8/2023,7,8.27,Firefighter,Fishing,FALSE
Jeffrey,Sullivan,male,61,11/15/2020,9,994.93,Artist,Swimming,FALSE
Amy,Harris,female,25,1/3/2019,11,975.89,Janitor,Meditation,FALSE
Rhonda,Flores,female,52,4/17/2023,20,710.48,Accountant,Swimming,FALSE
Steven,Black,male,41,8/12/2020,1,847.28,Firefighter,Watching movies,FALSE
Robert,Shepherd,male,28,6/20/2019,1,255.44,Hairdresser,Photography,FALSE
Robin,Snyder,female,19,9/7/2018,4,127.75,Butcher,Playing musical instruments,TRUE
Elijah,Cook,male,80,11/21/2022,6,668.19,Doctor,Collecting,FALSE
Dennis,Hill,male,42,4/7/2021,6,751.82,Nurse,Running,FALSE
Charles,Nunez,male,80,3/26/2023,8,789.73,Security Guard,Playing musical instruments,FALSE
Philip,Robinson,male,52,10/24/2020,19,530.28,Barber,Singing,FALSE
Rachel,Larson,female,21,1/10/2019,4,951.4,Librarian,Yoga,TRUE
Stephen,Sharp,male,35,2/16/2019,14,603.15,Hairdresser,Gardening,FALSE
Aimee,Jacobs,female,54,11/24/2021,8,302.32,Tailor,Playing musical instruments,FALSE
Brittany,Miller,female,49,9/25/2019,18,444.08,Pilot,Collecting,FALSE
Sabrina,Mclaughlin,female,50,7/20/2021,4,440.33,Security Guard,Writing,TRUE
Amber,Banks,female,54,10/12/2020,2,25.81,Baker,Other,FALSE
Casey,Todd,female,62,11/5/2018,2,381.27,Doctor,Drawing,TRUE
Miranda,Williams,female,48,6/10/2019,11,701.43,Accountant,Watching movies,FALSE
Alexander,Williams,male,48,7/15/2022,16,292.91,Pilot,Photography,FALSE
Jesus,Higgins,male,57,12/25/2019,1,866.94,Receptionist,Watching movies,TRUE
James,Keith,male,50,2/18/2019,11,678.38,Lawyer,Hunting,FALSE
Shawn,Johnson,male,18,8/1/2023,17,803.85,Politician,Drawing,TRUE
Natalie,Page,female,75,4/14/2019,11,421.98,Engineer,Fishing,TRUE
Zachary,Fowler,male,28,10/7/2019,3,816.36,Lawyer,Writing,TRUE
Brian,Bowman,male,55,5/16/2021,4,497.49,Engineer,Watching movies,TRUE
Ryan,Martin,male,61,1/22/2019,19,277.85,Teacher,Singing,FALSE
Jennifer,Silva,female,45,4/2/2020,10,428.69,Doctor,Meditation,FALSE
Joseph,Sparks,male,66,1/1/2022,10,705.29,Scientist,Gardening,FALSE
Mary,Bishop,female,60,11/30/2019,4,266.34,Mechanic,Fishing,TRUE
Stacey,Welch,female,46,3/17/2021,12,525.97,Scientist,Traveling,TRUE
Brett,Burns,male,41,10/10/2020,14,214.74,Dentist,Other,FALSE
Michael,Case,male,29,3/21/2020,15,289.75,Athlete,Sewing,TRUE
Terry,Bailey,male,68,10/13/2018,7,203.84,Dentist,Meditation,FALSE
Christopher,Mcdonald,male,43,11/20/2021,0,895.73,Mechanic,Playing musical instruments,TRUE
Andres,Becker,male,31,2/2/2022,5,804.85,Politician,Hunting,FALSE
Chase,Mcdaniel,male,26,2/14/2022,9,826.27,Butcher,Drawing,FALSE
Sherry,Parsons,female,52,12/5/2018,6,599.31,Waitress,Drawing,FALSE
Javier,Jones,male,80,10/31/2018,8,119.81,Firefighter,Sewing,FALSE
Jill,Kane,female,32,9/24/2021,19,408.72,Unemployed,Traveling,FALSE
Janet,Valdez,female,29,7/30/2019,1,43.92,Unemployed,Other,TRUE
Karen,Ford,female,33,12/4/2018,8,520.03,Janitor,Cycling,TRUE
Jamie,Johnson,female,28,4/20/2023,1,516.39,Athlete,Hunting,FALSE
Jessica,Marshall,female,21,7/1/2019,3,219.37,Polic,Swimming,TRUE
Sharon,Warner,female,55,9/10/2021,15,655.36,Farmer,Gardening,FALSE
Zachary,Williams,male,19,11/10/2019,4,172.65,Receptionist,Hunting,FALSE
Brooke,Durham,female,33,2/4/2023,16,415.33,Accountant,Painting,FALSE
Ryan,Murray,male,77,3/9/2020,13,86.28,Architect,Photography,FALSE
Gabrielle,Smith,female,44,5/20/2019,13,421.24,Barber,Watching movies,FALSE
Nicole,Bennett,female,51,3/2/2019,20,722.42,Chef,Running,FALSE
Heather,Ali,female,75,4/22/2019,8,173.15,Engineer,Writing,FALSE
Sandra,Mcmahon,female,34,3/16/2021,11,727.8,Security Guard,Camping,TRUE
Bailey,Mercado,female,42,10/17/2019,2,107.5,Engineer,Traveling,FALSE
Morgan,Cooper,female,18,10/8/2022,15,799.49,Firefighter,Hunting,FALSE
Matthew,Stokes,male,42,1/22/2020,14,695.73,Artist,Meditation,FALSE
Timothy,Mullins,male,51,11/10/2019,12,979.46,Waiter,Hiking,FALSE
Kenneth,Rubio,male,74,8/3/2019,15,482.72,Polic,Dancing,TRUE
Mary,Zamora,female,62,2/23/2019,1,968.64,Mechanic,Writing,TRUE
Larry,Cole,male,50,12/19/2022,5,130.5,Athlete,Writing,TRUE
Jeffrey,Diaz,male,69,5/2/2019,18,528.32,Dentist,Fishing,FALSE
Joseph,Brown,male,29,2/16/2021,0,584.56,Nurse,Swimming,TRUE
Emily,Jones,female,60,11/20/2020,19,127.5,Pilot,Traveling,FALSE
Tara,Davis,female,80,5/7/2022,18,941.06,Lawyer,Running,FALSE
Tiffany,Bowers,female,39,5/16/2023,4,529.19,Tailor,Watching movies,TRUE
Linda,Craig,female,25,11/22/2022,11,81.96,Dentist,Baking,TRUE
Christine,Smith,female,74,1/17/2020,2,148.68,Politician,Other,FALSE
Matthew,Williams,male,29,1/22/2019,20,649.96,Athlete,Playing musical instruments,FALSE
Brenda,Lewis,female,21,11/14/2021,5,893.46,Officer,Camping,FALSE
Adrian,West,male,51,1/2/2019,12,462.8,Housewife,Playing musical instruments,TRUE
Amy,Scott,female,28,9/11/2019,5,189.18,Security Guard,Watching movies,FALSE
April,Beck,female,80,9/14/2021,7,20.45,Clerk,Yoga,FALSE
Anthony,Nicholson,male,22,4/19/2021,0,263.69,Butcher,Sewing,TRUE
Shari,Garcia,female,78,3/23/2021,17,129.58,Athlete,Running,TRUE
Xavier,Miles,male,45,3/30/2020,18,614.2,Carpenter,Baking,FALSE
Rachael,Gilbert,female,42,1/5/2021,18,319.97,Waitress,Hiking,TRUE
Michele,Rogers,female,48,3/2/2019,11,720.58,Unemployed,Sewing,FALSE
Derek,Dixon,male,33,5/14/2023,8,154.31,Waiter,Traveling,FALSE
Grace,Hartman,female,26,7/14/2022,13,249.1,Receptionist,Gardening,FALSE
Joseph,Miller,male,36,9/7/2022,10,517.7,Baker,Singing,TRUE
David,Arnold,male,62,3/11/2021,17,548.98,Polic,Meditation,TRUE
Yesenia,White,female,25,12/23/2019,8,227.14,Receptionist,Yoga,FALSE
Nancy,Miller,female,65,12/31/2018,20,432.59,Baker,Swimming,TRUE
Christopher,Doyle,male,43,9/1/2018,17,256.09,Officer,Yoga,FALSE
Taylor,Reed,female,74,6/12/2020,12,544.54,Unkown,Painting,FALSE
Katherine,Ferguson,female,41,11/16/2019,5,956,Pilot,Watching movies,FALSE
Robert,Bryan,male,49,7/8/2019,17,298.6,Barber,Singing,TRUE
Zachary,Kane,male,75,12/30/2021,13,702.17,Nurse,Swimming,TRUE
Rebecca,Robinson,female,50,5/30/2022,13,695.82,Butcher,Playing musical instruments,FALSE
Bethany,Anderson,female,43,6/9/2019,6,181.34,Baker,Other,FALSE
Mary,Williams,female,22,10/28/2021,15,121.59,Mechanic,Meditation,FALSE
Carlos,Wallace,male,58,7/3/2022,2,307.94,Scientist,Baking,FALSE
Rhonda,Matthews,female,62,10/20/2022,2,907.74,Teacher,Photography,FALSE
Donald,Barker,male,39,4/10/2022,11,530.65,Housewife,Cooking,TRUE
Courtney,Lopez,female,66,8/1/2022,12,740.41,Baker,Painting,FALSE
Chelsea,Moyer,female,20,8/15/2020,17,614.33,Accountant,Baking,FALSE
Brittany,Golden,female,24,6/23/2020,4,439.42,Tailor,Photography,FALSE
Russell,Berry,male,25,8/11/2018,19,248.58,Cashier,Gardening,FALSE
Joshua,Jackson,male,57,12/28/2019,17,800.72,Officer,Meditation,FALSE
Alicia,Thompson,female,38,12/17/2018,9,337.99,Unkown,Watching movies,TRUE
Clifford,Gray,male,23,7/31/2019,14,312.46,Athlete,Yoga,FALSE
Gloria,Miller,female,68,1/4/2023,5,320.33,Hairdresser,Swimming,FALSE
Nicole,Mcintyre,female,18,3/21/2023,20,971.81,Accountant,Hunting,FALSE
Vincent,Kline,male,57,9/18/2018,11,145.81,Barber,Sewing,TRUE
Amber,Hunter,female,78,2/19/2022,6,736.2,Waiter,Camping,TRUE
Shelby,Gomez,female,28,8/30/2021,7,801.21,Unkown,Watching movies,FALSE
Thomas,Mclaughlin,male,29,11/4/2022,17,968.75,Lawyer,Meditation,FALSE
Nathan,Graham,male,47,1/10/2020,13,541.11,Unkown,Camping,FALSE
Thomas,Guzman,male,69,11/1/2018,5,784.21,Dentist,Fishing,FALSE
Sarah,Gilbert,female,56,7/15/2021,4,561.85,Chef,Cycling,FALSE
Jeremy,Andrews,male,24,9/4/2020,6,932.03,Unkown,Dancing,FALSE
Megan,Morris,female,41,10/18/2019,17,661.88,Hairdresser,Traveling,TRUE
Zachary,Davis,male,25,7/14/2019,3,968.83,Tailor,Dancing,FALSE
Michael,Phelps,male,72,8/26/2022,2,573.59,Butcher,Collecting,TRUE
Christopher,Robinson,male,23,9/8/2020,12,246.48,Unemployed,Gardening,FALSE
Aaron,Mckee,male,37,2/12/2020,17,236.32,Chef,Running,FALSE
Andrea,Velasquez,female,55,11/7/2021,20,18.65,Unemployed,Hunting,FALSE
Philip,Newton,male,74,2/1/2023,6,944.92,Firefighter,Meditation,FALSE
Kathleen,Palmer,female,64,3/26/2022,12,454.08,Student,Camping,FALSE
Eric,Levine,male,25,3/7/2021,17,65.95,Athlete,Camping,FALSE
Michael,Lopez,male,47,11/12/2021,13,128.94,Cashier,Yoga,FALSE
Samantha,Smith,female,28,1/19/2020,13,936.97,Butcher,Yoga,TRUE
Diane,Tanner,female,79,8/7/2020,17,323.44,Architect,Hunting,FALSE
Melissa,Gaines,female,25,3/4/2022,13,453.49,Housewife,Playing video games,FALSE
Alicia,Jensen,female,19,7/12/2020,14,803.3,Scientist,Camping,FALSE
Donna,Bird,female,63,3/6/2019,6,712.61,Dentist,Playing sports,FALSE
Kyle,Ruiz,male,48,4/26/2019,12,849.18,Cashier,Collecting,TRUE
Janet,Holmes,female,36,4/18/2023,4,909.81,Unemployed,Cooking,FALSE
Edward,Bray,male,32,1/23/2021,20,78.33,Politician,Playing musical instruments,TRUE
Brenda,Hines,female,44,8/8/2020,1,976.9,Farmer,Photography,TRUE
Mark,Roberts,male,61,4/10/2019,13,327.65,Officer,Cycling,FALSE
Alejandro,Bailey,male,73,11/2/2021,19,870.41,Engineer,Dancing,FALSE
Mark,Rivers,male,38,9/10/2018,0,348.89,Nurse,Traveling,FALSE
Christopher,Miles,male,30,9/30/2018,7,168.8,Artist,Traveling,FALSE
Justin,Stewart,male,73,8/3/2018,15,605.9,Polic,Drawing,FALSE
John,Miller,male,53,2/10/2019,11,150.75,Tailor,Swimming,FALSE
Thomas,Hickman,male,23,8/1/2021,0,376.82,Unemployed,Camping,TRUE
Patricia,Garcia,female,19,12/12/2022,2,654.3,Security Guard,Photography,FALSE
Cindy,Chambers,female,24,8/10/2021,18,297.83,Engineer,Traveling,FALSE
Natasha,Collins,female,69,5/13/2020,7,440.67,Carpenter,Playing musical instruments,FALSE
Anthony,Smith,male,33,6/24/2020,1,386.27,Housewife,Yoga,FALSE
Jacob,Robinson,male,78,6/18/2022,1,892.67,Teacher,Traveling,FALSE
Joseph,Martinez,male,42,10/2/2021,17,125.26,Librarian,Gardening,FALSE
Joseph,Cross,male,23,9/30/2020,4,610.04,Student,Cooking,FALSE
Margaret,Nelson,female,62,2/9/2021,11,957.71,Receptionist,Gardening,FALSE
Jay,Williams,male,27,9/11/2019,7,70.61,Waitress,Playing musical instruments,FALSE
Craig,Moore,male,24,11/6/2018,7,429.24,Athlete,Playing video games,FALSE
Matthew,Jackson,male,37,11/12/2020,0,833.36,Student,Watching movies,TRUE
Robert,Smith,male,53,7/16/2020,5,200.42,Receptionist,Traveling,TRUE
Kristine,Green,female,34,9/23/2018,7,631.49,Dentist,Other,FALSE
Karen,Jacobs,female,45,3/21/2021,9,592.95,Scientist,Dancing,FALSE
Jessica,Obrien,female,67,9/30/2020,7,831.99,Receptionist,Playing musical instruments,FALSE
Paul,Underwood,male,32,11/30/2021,7,605.42,Firefighter,Playing musical instruments,FALSE
Brian,Scott,male,47,1/15/2023,13,709.97,Waiter,Fishing,TRUE
Bryan,Richardson,male,76,6/30/2020,19,456.7,Engineer,Traveling,TRUE
John,Summers,male,57,4/4/2020,9,826.48,Receptionist,Camping,FALSE
Tracy,Wolf,male,35,5/25/2023,11,983.4,Doctor,Running,FALSE
Michael,Castro,male,76,9/25/2022,12,721.3,Polic,Fishing,FALSE
April,Lyons,female,29,7/30/2023,4,325.56,Artist,Cycling,FALSE
Teresa,Mitchell,female,33,3/30/2019,1,20.81,Unemployed,Hiking,FALSE
Mark,Stewart,male,77,3/13/2020,19,374.24,Nurse,Singing,FALSE
Kayla,Mitchell,female,64,3/17/2020,4,309.12,Lawyer,Traveling,TRUE
Alan,Rodriguez,male,79,8/12/2021,16,802.3,Artist,Camping,FALSE
Katelyn,Smith,female,69,9/10/2021,13,869.23,Receptionist,Collecting,FALSE
Tina,Duarte,female,48,6/26/2021,3,729.86,Chef,Running,FALSE
Matthew,Hansen,male,35,11/1/2019,16,404.22,Mechanic,Painting,FALSE
Olivia,Williamson,female,58,6/30/2020,14,115.39,Polic,Painting,FALSE
Anthony,Wade,male,38,3/31/2021,1,900.69,Hairdresser,Cooking,TRUE
Jaclyn,Barton,female,28,4/3/2021,2,715.62,Lawyer,Sewing,FALSE
Adam,Johnson,male,39,1/10/2023,9,302.58,Janitor,Baking,FALSE
Matthew,Hogan,male,64,2/25/2020,7,736.07,Librarian,Running,FALSE
Wendy,Goodman,female,25,4/12/2022,9,892.68,Scientist,Camping,FALSE
Tyler,Mills,male,70,5/27/2022,16,375.06,Butcher,Other,FALSE
Janet,Rivera,female,19,7/9/2023,0,668.58,Cashier,Painting,TRUE
James,Robbins,male,25,8/9/2021,1,922.98,Officer,Gardening,FALSE
Grace,Cooper,female,45,5/11/2020,2,504.58,Teacher,Playing sports,TRUE
Denise,Cook,female,31,4/10/2022,5,966.34,Firefighter,Watching movies,FALSE
Wayne,Curtis,male,66,11/10/2022,14,838.26,Athlete,Painting,FALSE
Kendra,Holder,female,53,3/28/2023,12,756.71,Artist,Playing sports,TRUE
Terry,Nielsen,male,77,3/13/2019,0,45.67,Officer,Hiking,FALSE
Natasha,Gallegos,female,67,8/12/2022,14,610.09,Butcher,Photography,FALSE
Hannah,Hughes,female,42,10/1/2022,5,736.41,Lawyer,Photography,FALSE
Jodi,Wilkerson,female,32,6/28/2020,18,91.29,Barber,Writing,TRUE
Kyle,Bright,male,28,9/1/2022,18,241.39,Mechanic,Fishing,FALSE
Kevin,Santiago,male,41,12/10/2021,20,413.33,Receptionist,Collecting,TRUE
Timothy,Gutierrez,male,68,8/8/2019,4,325.62,Receptionist,Watching movies,TRUE
Ivan,Callahan,male,72,8/21/2022,8,158.41,Tailor,Drawing,FALSE
Austin,Dyer,male,71,8/20/2022,12,439.44,Scientist,Reading,FALSE
Christopher,Murphy,male,22,8/1/2021,0,40.27,Polic,Running,TRUE
Brandi,Bennett,female,60,9/15/2022,6,26.49,Waitress,Meditation,FALSE
William,Hull,male,67,6/1/2020,20,32.01,Scientist,Photography,TRUE
Kevin,Marshall,male,24,4/7/2020,17,847.23,Tailor,Baking,TRUE
Derrick,Ross,male,41,10/20/2021,18,612.08,Unemployed,Painting,FALSE
Charles,Gardner,male,18,3/12/2023,3,392.45,Barber,Hiking,TRUE
Karen,Davis,female,30,4/16/2023,5,434.38,Politician,Photography,FALSE
Cathy,Walker,female,49,4/15/2022,1,76.82,Farmer,Painting,FALSE
Karen,Jenkins,female,40,2/24/2022,16,898.74,Farmer,Writing,TRUE
David,Townsend,male,26,9/8/2019,7,699.33,Dentist,Singing,FALSE
Lisa,Collins,female,19,3/23/2021,20,57.96,Firefighter,Other,FALSE
Kenneth,Wilson,male,79,4/18/2023,13,181.55,Farmer,Cycling,TRUE
Kyle,Vincent,male,63,4/9/2019,10,979.84,Architect,Drawing,FALSE
Kimberly,Richardson,female,70,12/27/2021,5,125.8,Farmer,Playing video games,FALSE
Joseph,Robinson,male,29,12/19/2020,3,637.43,Carpenter,Swimming,FALSE
Keith,Chavez,male,51,5/10/2021,13,233.32,Mechanic,Playing sports,FALSE
Gerald,Romero,male,37,3/18/2023,9,452.3,Carpenter,Swimming,TRUE
Deanna,Sparks,female,21,6/18/2020,13,835.38,Clerk,Cycling,TRUE
Kevin,Miller,male,43,6/20/2023,0,44.57,Scientist,Playing musical instruments,FALSE
William,Jackson,male,62,11/13/2018,2,290.5,Nurse,Running,FALSE
Jennifer,Li,female,37,6/11/2021,6,442.87,Polic,Swimming,TRUE
Bailey,Johnson,female,47,2/14/2019,2,231.49,Baker,Sewing,TRUE
Sandra,Jackson,female,43,6/14/2019,2,39.21,Unkown,Running,TRUE
Steven,Stephens,male,48,3/14/2021,4,755.76,Cashier,Other,FALSE
Richard,Barrera,male,21,3/18/2019,19,323.71,Officer,Writing,TRUE
Alexandra,Thompson,female,24,10/30/2018,9,76.63,Architect,Watching movies,TRUE
Rebecca,Diaz,female,80,4/26/2023,2,121.65,Housewife,Running,TRUE
Lindsey,Sharp,female,63,7/3/2022,17,659.4,Lawyer,Baking,TRUE
William,Duncan,male,36,9/29/2019,17,146.22,Lawyer,Dancing,TRUE
Matthew,Johnson,male,76,7/8/2022,7,150.87,Teacher,Gardening,FALSE
Bruce,Young,male,44,5/28/2022,0,639.61,Artist,Camping,FALSE
Andrew,Fleming,male,59,1/23/2022,0,904.99,Receptionist,Cooking,FALSE
Steven,Cortez,male,48,3/31/2020,7,356.64,Lawyer,Singing,TRUE
Sally,Boyle,female,33,11/9/2019,0,72.68,Chef,Traveling,FALSE
Brenda,Davis,female,67,9/22/2019,13,360.16,Student,Hiking,FALSE
Sean,Smith,male,62,8/11/2021,10,656.31,Janitor,Traveling,FALSE
Shannon,Gilbert,female,58,3/5/2020,7,476.91,Farmer,Photography,TRUE
Jose,Lee,male,59,4/9/2023,12,736.8,Politician,Playing sports,FALSE
Justin,Russo,male,33,8/2/2021,12,809.19,Teacher,Gardening,FALSE
